 ENERGY RELATIVELY TO THE GROUND STATE: FISSION BARRIER
         r         e       der
     29.20      3.30     -0.28
     29.30      3.27     -0.27
     29.40      3.24     -0.27
     29.50      3.21     -0.27
     29.60      3.19     -0.27
     29.70      3.16     -0.27
     29.80      3.13     -0.27
     29.90      3.11     -0.26
     30.00      3.08     -0.26
     30.10      3.05     -0.26
     30.20      3.03     -0.26
     30.30      3.00     -0.26
     30.40      2.98     -0.26
     30.50      2.95     -0.25
     30.60      2.93     -0.25
     30.70      2.90     -0.25
     30.80      2.88     -0.25
     30.90      2.85     -0.25
     31.00      2.83     -0.25
     31.10      2.80     -0.24
     31.20      2.78     -0.24
     31.30      2.75     -0.24
     31.40      2.73     -0.24
     31.50      2.71     -0.24
     31.60      2.68     -0.24
     31.70      2.66     -0.23
     31.80      2.64     -0.23
     31.90      2.61     -0.23
     32.00      2.59     -0.23
     32.10      2.57     -0.23
     32.20      2.54     -0.23
     32.30      2.52     -0.23
     32.40      2.50     -0.22
     32.50      2.48     -0.22
     32.60      2.45     -0.22
     32.70      2.43     -0.22
     32.80      2.41     -0.22
     32.90      2.39     -0.22
     33.00      2.37     -0.22
     33.10      2.34     -0.22
     33.20      2.32     -0.21
     33.30      2.30     -0.21
     33.40      2.28     -0.21
     33.50      2.26     -0.21
     33.60      2.24     -0.21
     33.70      2.22     -0.21
     33.80      2.20     -0.21
     33.90      2.18     -0.21
     34.00      2.16     -0.20
     34.10      2.13     -0.20
     34.20      2.11     -0.20
     34.30      2.09     -0.20
     34.40      2.07     -0.20
     34.50      2.05     -0.20
     34.60      2.03     -0.20
     34.70      2.01     -0.20
     34.80      2.00     -0.19
     34.90      1.98     -0.19
     35.00      1.96     -0.19
     35.10      1.94     -0.19
     35.20      1.92     -0.19
     35.30      1.90     -0.19
     35.40      1.88     -0.19
     35.50      1.86     -0.19
     35.60      1.84     -0.19
     35.70      1.82     -0.19
     35.80      1.81     -0.18
     35.90      1.79     -0.18
     36.00      1.77     -0.18
     36.10      1.75     -0.18
     36.20      1.73     -0.18
     36.30      1.71     -0.18
     36.40      1.70     -0.18
     36.50      1.68     -0.18
     36.60      1.66     -0.18
     36.70      1.64     -0.18
     36.80      1.63     -0.17
     36.90      1.61     -0.17
     37.00      1.59     -0.17
     37.10      1.57     -0.17
     37.20      1.56     -0.17
     37.30      1.54     -0.17
     37.40      1.52     -0.17
     37.50      1.51     -0.17
     37.60      1.49     -0.17
     37.70      1.47     -0.17
     37.80      1.46     -0.17
     37.90      1.44     -0.16
     38.00      1.42     -0.16
     38.10      1.41     -0.16
     38.20      1.39     -0.16
     38.30      1.38     -0.16
     38.40      1.36     -0.16
     38.50      1.34     -0.16
     38.60      1.33     -0.16
     38.70      1.31     -0.16
     38.80      1.30     -0.16
     38.90      1.28     -0.16
     39.00      1.26     -0.16
     39.10      1.25     -0.15
     39.20      1.23     -0.15
     39.30      1.22     -0.15
     39.40      1.20     -0.15
     39.50      1.19     -0.15
     39.60      1.17     -0.15
     39.70      1.16     -0.15
     39.80      1.14     -0.15
     39.90      1.13     -0.15
     40.00      1.11     -0.15
     40.10      1.10     -0.15
     40.20      1.08     -0.15
     40.30      1.07     -0.15
     40.40      1.05     -0.14
     40.50      1.04     -0.14
     40.60      1.03     -0.14
     40.70      1.01     -0.14
     40.80      1.00     -0.14
     40.90      0.98     -0.14
     41.00      0.97     -0.14
     41.10      0.96     -0.14
     41.20      0.94     -0.14
     41.30      0.93     -0.14
     41.40      0.91     -0.14
     41.50      0.90     -0.14
     41.60      0.89     -0.14
     41.70      0.87     -0.14
     41.80      0.86     -0.14
     41.90      0.85     -0.13
     42.00      0.83     -0.13
     42.10      0.82     -0.13
     42.20      0.81     -0.13
     42.30      0.79     -0.13
     42.40      0.78     -0.13
     42.50      0.77     -0.13
     42.60      0.75     -0.13
     42.70      0.74     -0.13
     42.80      0.73     -0.13
     42.90      0.71     -0.13
     43.00      0.70     -0.13
     43.10      0.69     -0.13
     43.20      0.68     -0.13
     43.30      0.66     -0.13
     43.40      0.65     -0.13
     43.50      0.64     -0.12
     43.60      0.63     -0.12
     43.70      0.61     -0.12
     43.80      0.60     -0.12
     43.90      0.59     -0.12
     44.00      0.58     -0.12
     44.10      0.56     -0.12
     44.20      0.55     -0.12
     44.30      0.54     -0.12
     44.40      0.53     -0.12
     44.50      0.52     -0.12
     44.60      0.50     -0.12
     44.70      0.49     -0.12
     44.80      0.48     -0.12
     44.90      0.47     -0.12
     45.00      0.46     -0.12
     45.10      0.45     -0.12
     45.20      0.43     -0.12
     45.30      0.42     -0.12
     45.40      0.41     -0.11
     45.50      0.40     -0.11
     45.60      0.39     -0.11
     45.70      0.38     -0.11
     45.80      0.37     -0.11
     45.90      0.35     -0.11
     46.00      0.34     -0.11
     46.10      0.33     -0.11
     46.20      0.32     -0.11
     46.30      0.31     -0.11
     46.40      0.30     -0.11
     46.50      0.29     -0.11
     46.60      0.28     -0.11
     46.70      0.27     -0.11
     46.80      0.26     -0.11
     46.90      0.24     -0.11
     47.00      0.23     -0.11
     47.10      0.22     -0.11
     47.20      0.21     -0.11
     47.30      0.20     -0.11
     47.40      0.19     -0.11
     47.50      0.18     -0.10
     47.60      0.17     -0.10
     47.70      0.16     -0.10
     47.80      0.15     -0.10
     47.90      0.14     -0.10
     48.00      0.13     -0.10
     48.10      0.12     -0.10
     48.20      0.11     -0.10
     48.30      0.10     -0.10
     48.40      0.09     -0.10
     48.50      0.08     -0.10
     48.60      0.07     -0.10
     48.70      0.06     -0.10
     48.80      0.05     -0.10
     48.90      0.04     -0.10
     49.00      0.03     -0.10
     49.10      0.02     -0.10
     49.20      0.01     -0.10
     49.30     -0.00     -0.10
     49.40     -0.01     -0.10
     49.50     -0.02     -0.10
     49.60     -0.03     -0.10
     49.70     -0.04     -0.10
     49.80     -0.05     -0.10
     49.90     -0.06     -0.09
     50.00     -0.07     -0.09
     50.10     -0.08     -0.09
     50.20     -0.09     -0.09
     50.30     -0.10     -0.09
     50.40     -0.11     -0.09
     50.50     -0.11     -0.09
     50.60     -0.12     -0.09
     50.70     -0.13     -0.09
     50.80     -0.14     -0.09
     50.90     -0.15     -0.09
     51.00     -0.16     -0.09
     51.10     -0.17     -0.09
     51.20     -0.18     -0.09
     51.30     -0.19     -0.09
     51.40     -0.20     -0.09
     51.50     -0.21     -0.09
     51.60     -0.21     -0.09
     51.70     -0.22     -0.09
     51.80     -0.23     -0.09
     51.90     -0.24     -0.09
     52.00     -0.25     -0.09
     52.10     -0.26     -0.09
     52.20     -0.27     -0.09
     52.30     -0.28     -0.09
     52.40     -0.28     -0.09
     52.50     -0.29     -0.09
     52.60     -0.30     -0.09
     52.70     -0.31     -0.09
     52.80     -0.32     -0.08
     52.90     -0.33     -0.08
     53.00     -0.33     -0.08
     53.10     -0.34     -0.08
     53.20     -0.35     -0.08
     53.30     -0.36     -0.08
     53.40     -0.37     -0.08
     53.50     -0.38     -0.08
     53.60     -0.38     -0.08
     53.70     -0.39     -0.08
     53.80     -0.40     -0.08
     53.90     -0.41     -0.08
     54.00     -0.42     -0.08
     54.10     -0.43     -0.08
     54.20     -0.43     -0.08
     54.30     -0.44     -0.08
     54.40     -0.45     -0.08
     54.50     -0.46     -0.08
     54.60     -0.47     -0.08
     54.70     -0.47     -0.08
     54.80     -0.48     -0.08
     54.90     -0.49     -0.08
     55.00     -0.50     -0.08
     55.10     -0.50     -0.08
     55.20     -0.51     -0.08
     55.30     -0.52     -0.08
     55.40     -0.53     -0.08
     55.50     -0.54     -0.08
     55.60     -0.54     -0.08
     55.70     -0.55     -0.08
     55.80     -0.56     -0.08
     55.90     -0.57     -0.08
     56.00     -0.57     -0.08
     56.10     -0.58     -0.08
     56.20     -0.59     -0.07
     56.30     -0.60     -0.07
     56.40     -0.60     -0.07
     56.50     -0.61     -0.07
     56.60     -0.62     -0.07
     56.70     -0.63     -0.07
     56.80     -0.63     -0.07
     56.90     -0.64     -0.07
     57.00     -0.65     -0.07
     57.10     -0.65     -0.07
     57.20     -0.66     -0.07
     57.30     -0.67     -0.07
     57.40     -0.68     -0.07
     57.50     -0.68     -0.07
     57.60     -0.69     -0.07
     57.70     -0.70     -0.07
     57.80     -0.70     -0.07
     57.90     -0.71     -0.07
     58.00     -0.72     -0.07
     58.10     -0.73     -0.07
     58.20     -0.73     -0.07
     58.30     -0.74     -0.07
     58.40     -0.75     -0.07
     58.50     -0.75     -0.07
     58.60     -0.76     -0.07
     58.70     -0.77     -0.07
     58.80     -0.77     -0.07
     58.90     -0.78     -0.07
     59.00     -0.79     -0.07
     59.10     -0.79     -0.07
     59.20     -0.80     -0.07
     59.30     -0.81     -0.07
     59.40     -0.82     -0.07
     59.50     -0.82     -0.07
     59.60     -0.83     -0.07
     59.70     -0.84     -0.07
     59.80     -0.84     -0.07
     59.90     -0.85     -0.07
     60.00     -0.85     -0.07
     60.10     -0.86     -0.07
     60.20     -0.87     -0.07
     60.30     -0.87     -0.06
     60.40     -0.88     -0.06
     60.50     -0.89     -0.06
     60.60     -0.89     -0.06
     60.70     -0.90     -0.06
     60.80     -0.91     -0.06
     60.90     -0.91     -0.06
     61.00     -0.92     -0.06
     61.10     -0.93     -0.06
     61.20     -0.93     -0.06
     61.30     -0.94     -0.06
     61.40     -0.94     -0.06
     61.50     -0.95     -0.06
     61.60     -0.96     -0.06
     61.70     -0.96     -0.06
     61.80     -0.97     -0.06
     61.90     -0.98     -0.06
     62.00     -0.98     -0.06
     62.10     -0.99     -0.06
     62.20     -0.99     -0.06
     62.30     -1.00     -0.06
     62.40     -1.01     -0.06
     62.50     -1.01     -0.06
     62.60     -1.02     -0.06
     62.70     -1.02     -0.06
     62.80     -1.03     -0.06
     62.90     -1.04     -0.06
     63.00     -1.04     -0.06
     63.10     -1.05     -0.06
     63.20     -1.05     -0.06
     63.30     -1.06     -0.06
     63.40     -1.07     -0.06
     63.50     -1.07     -0.06
     63.60     -1.08     -0.06
     63.70     -1.08     -0.06
     63.80     -1.09     -0.06
     63.90     -1.10     -0.06
     64.00     -1.10     -0.06
     64.10     -1.11     -0.06
     64.20     -1.11     -0.06
     64.30     -1.12     -0.06
     64.40     -1.12     -0.06
     64.50     -1.13     -0.06
     64.60     -1.14     -0.06
     64.70     -1.14     -0.06
     64.80     -1.15     -0.06
     64.90     -1.15     -0.06
     65.00     -1.16     -0.06
     65.10     -1.16     -0.06
     65.20     -1.17     -0.06
     65.30     -1.17     -0.06
     65.40     -1.18     -0.06
     65.50     -1.19     -0.06
     65.60     -1.19     -0.05
     65.70     -1.20     -0.05
     65.80     -1.20     -0.05
     65.90     -1.21     -0.05
     66.00     -1.21     -0.05
     66.10     -1.22     -0.05
     66.20     -1.22     -0.05
     66.30     -1.23     -0.05
     66.40     -1.23     -0.05
     66.50     -1.24     -0.05
     66.60     -1.24     -0.05
     66.70     -1.25     -0.05
     66.80     -1.26     -0.05
     66.90     -1.26     -0.05
     67.00     -1.27     -0.05
     67.10     -1.27     -0.05
     67.20     -1.28     -0.05
     67.30     -1.28     -0.05
     67.40     -1.29     -0.05
     67.50     -1.29     -0.05
     67.60     -1.30     -0.05
     67.70     -1.30     -0.05
     67.80     -1.31     -0.05
     67.90     -1.31     -0.05
     68.00     -1.32     -0.05
     68.10     -1.32     -0.05
     68.20     -1.33     -0.05
     68.30     -1.33     -0.05
     68.40     -1.34     -0.05
     68.50     -1.34     -0.05
     68.60     -1.35     -0.05
     68.70     -1.35     -0.05
     68.80     -1.36     -0.05
     68.90     -1.36     -0.05
     69.00     -1.37     -0.05
     69.10     -1.37     -0.05
     69.20     -1.38     -0.05
     69.30     -1.38     -0.05
     69.40     -1.39     -0.05
     69.50     -1.39     -0.05
     69.60     -1.40     -0.05
     69.70     -1.40     -0.05
     69.80     -1.41     -0.05
     69.90     -1.41     -0.05
     70.00     -1.42     -0.05
     70.10     -1.42     -0.05
     70.20     -1.43     -0.05
     70.30     -1.43     -0.05
     70.40     -1.44     -0.05
     70.50     -1.44     -0.05
     70.60     -1.45     -0.05
     70.70     -1.45     -0.05
     70.80     -1.46     -0.05
     70.90     -1.46     -0.05
     71.00     -1.46     -0.05
     71.10     -1.47     -0.05
     71.20     -1.47     -0.05
     71.30     -1.48     -0.05
     71.40     -1.48     -0.05
     71.50     -1.49     -0.05
     71.60     -1.49     -0.05
     71.70     -1.50     -0.05
     71.80     -1.50     -0.05
     71.90     -1.51     -0.05
     72.00     -1.51     -0.05
     72.10     -1.52     -0.05
     72.20     -1.52     -0.05
     72.30     -1.52     -0.05
     72.40     -1.53     -0.05
     72.50     -1.53     -0.04
     72.60     -1.54     -0.04
     72.70     -1.54     -0.04
     72.80     -1.55     -0.04
     72.90     -1.55     -0.04
     73.00     -1.56     -0.04
     73.10     -1.56     -0.04
     73.20     -1.56     -0.04
     73.30     -1.57     -0.04
     73.40     -1.57     -0.04
     73.50     -1.58     -0.04
     73.60     -1.58     -0.04
     73.70     -1.59     -0.04
     73.80     -1.59     -0.04
     73.90     -1.60     -0.04
     74.00     -1.60     -0.04
     74.10     -1.60     -0.04
     74.20     -1.61     -0.04
     74.30     -1.61     -0.04
     74.40     -1.62     -0.04
     74.50     -1.62     -0.04
     74.60     -1.63     -0.04
     74.70     -1.63     -0.04
     74.80     -1.63     -0.04
     74.90     -1.64     -0.04
     75.00     -1.64     -0.04
     75.10     -1.65     -0.04
     75.20     -1.65     -0.04
     75.30     -1.65     -0.04
     75.40     -1.66     -0.04
     75.50     -1.66     -0.04
     75.60     -1.67     -0.04
     75.70     -1.67     -0.04
     75.80     -1.68     -0.04
     75.90     -1.68     -0.04
     76.00     -1.68     -0.04
     76.10     -1.69     -0.04
     76.20     -1.69     -0.04
     76.30     -1.70     -0.04
     76.40     -1.70     -0.04
     76.50     -1.70     -0.04
     76.60     -1.71     -0.04
     76.70     -1.71     -0.04
     76.80     -1.72     -0.04
     76.90     -1.72     -0.04
